Id,UNIXTime,Data,Time,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet,Radiation
29868,1481656501,12/13/2016 12:00:00 AM,09:15:01,48,30.32,81,295.28,14.62,06:48:00,17:45:00,538.14
15851,1475434224,10/2/2016 12:00:00 AM,08:50:24,55,30.47,92,1.89,9.0,06:14:00,18:10:00,570.06
8492,1477671020,10/28/2016 12:00:00 AM,06:10:20,46,30.38,102,87.03,7.87,06:22:00,17:51:00,1.49
13966,1476011121,10/9/2016 12:00:00 AM,01:05:21,50,30.41,87,190.22,10.12,06:16:00,18:04:00,1.27
28350,1482114017,12/18/2016 12:00:00 AM,16:20:17,45,30.4,102,285.7,6.75,06:51:00,17:47:00,14.69
32566,1480622102,12/1/2016 12:00:00 AM,09:55:02,44,30.42,99,65.19,5.62,06:41:00,17:42:00,168.86
2152,1474568422,9/22/2016 12:00:00 AM,08:20:22,63,30.43,19,170.83,4.5,06:11:00,18:19:00,529.22
13225,1476238521,10/11/2016 12:00:00 AM,16:15:21,61,30.41,78,44.43,3.37,06:16:00,18:03:00,404.01
23021,1478445902,11/6/2016 12:00:00 AM,05:25:02,46,30.44,29,189.55,13.5,06:26:00,17:46:00,1.22
26818,1482574539,12/24/2016 12:00:00 AM,00:15:39,48,30.47,44,173.03,10.12,06:54:00,17:50:00,1.19
29559,1481749502,12/14/2016 12:00:00 AM,11:05:02,50,30.31,79,316.35,7.87,06:49:00,17:46:00,809.15
607,1475044224,9/27/2016 12:00:00 AM,20:30:24,51,30.41,95,157.73,3.37,06:13:00,18:15:00,1.27
19377,1479539418,11/18/2016 12:00:00 AM,21:10:18,48,30.43,91,194.24,3.37,06:33:00,17:43:00,1.22
19357,1479545419,11/18/2016 12:00:00 AM,22:50:19,47,30.44,99,153.22,9.0,06:33:00,17:43:00,1.24
27927,1482241536,12/20/2016 12:00:00 AM,03:45:36,46,30.5,76,167.99,5.62,06:52:00,17:48:00,1.22
3589,1474124720,9/17/2016 12:00:00 AM,05:05:20,53,30.45,97,122.63,6.75,06:10:00,18:24:00,1.25
26464,1482680795,12/25/2016 12:00:00 AM,05:46:35,44,30.43,49,125.06,18.0,06:55:00,17:51:00,1.23
9558,1477350320,10/24/2016 12:00:00 AM,13:05:20,58,30.43,79,11.21,9.0,06:21:00,17:53:00,950.63
5388,1473426621,9/9/2016 12:00:00 AM,03:10:21,44,30.37,101,164.86,4.5,06:09:00,18:31:00,1.77
12058,1476595520,10/15/2016 12:00:00 AM,19:25:20,55,30.5,21,162.51,4.5,06:17:00,17:59:00,1.22
29935,1481636404,12/13/2016 12:00:00 AM,03:40:04,44,30.28,71,262.55,13.5,06:48:00,17:45:00,1.31
27769,1482288918,12/20/2016 12:00:00 AM,16:55:18,55,30.48,63,89.49,5.62,06:52:00,17:48:00,141.45
29829,1481668205,12/13/2016 12:00:00 AM,12:30:05,52,30.3,86,303.46,14.62,06:48:00,17:45:00,853.38
28339,1482117317,12/18/2016 12:00:00 AM,17:15:17,45,30.41,102,228.74,5.62,06:51:00,17:47:00,6.99
25906,1482848158,12/27/2016 12:00:00 AM,04:15:58,45,30.4,32,139.03,14.62,06:56:00,17:52:00,1.21
13954,1476015019,10/9/2016 12:00:00 AM,02:10:19,49,30.4,86,190.78,10.12,06:16:00,18:04:00,1.21
25956,1482833143,12/27/2016 12:00:00 AM,00:05:43,44,30.45,36,136.31,10.12,06:56:00,17:52:00,1.22
16298,1480464301,11/29/2016 12:00:00 AM,14:05:01,49,30.39,95,70.41,11.25,06:40:00,17:42:00,309.13
9482,1477373120,10/24/2016 12:00:00 AM,19:25:20,49,30.45,101,157.87,3.37,06:21:00,17:53:00,1.22
18195,1479894301,11/22/2016 12:00:00 AM,23:45:01,40,30.43,79,130.38,7.87,06:35:00,17:42:00,1.18
30941,1481334349,12/9/2016 12:00:00 AM,15:45:49,52,30.36,98,243.35,5.62,06:46:00,17:44:00,91.32
6133,1473129303,9/5/2016 12:00:00 AM,16:35:03,59,30.4,91,335.72,1.12,06:08:00,18:35:00,265.4
10841,1476964220,10/20/2016 12:00:00 AM,01:50:20,49,30.44,102,136.73,2.25,06:19:00,17:56:00,1.28
8105,1477787118,10/29/2016 12:00:00 AM,14:25:18,51,30.39,102,42.75,2.25,06:23:00,17:50:00,781.41
3421,1474175704,9/17/2016 12:00:00 AM,19:15:04,54,30.46,76,129.59,5.62,06:10:00,18:24:00,1.22
5548,1473334220,9/8/2016 12:00:00 AM,01:30:20,46,30.42,53,188.13,6.75,06:09:00,18:32:00,2.55
12395,1476492022,10/14/2016 12:00:00 AM,14:40:22,63,30.45,51,3.81,6.75,06:17:00,18:00:00,769.41
29347,1481813422,12/15/2016 12:00:00 AM,04:50:22,36,30.24,83,196.45,13.5,06:50:00,17:46:00,1.28
5449,1473405922,9/8/2016 12:00:00 AM,21:25:22,44,30.42,88,155.64,7.87,06:09:00,18:32:00,1.57
25952,1482834349,12/27/2016 12:00:00 AM,00:25:49,44,30.45,41,100.69,6.75,06:56:00,17:52:00,1.19
30690,1481409950,12/10/2016 12:00:00 AM,12:45:50,53,30.38,92,0.49,2.25,06:47:00,17:44:00,147.82
29046,1481904618,12/16/2016 12:00:00 AM,06:10:18,37,30.22,92,98.74,0.0,06:50:00,17:46:00,1.25
4252,1473847504,9/14/2016 12:00:00 AM,00:05:04,52,30.44,101,178.9,4.5,06:10:00,18:26:00,2.27
30698,1481407540,12/10/2016 12:00:00 AM,12:05:40,54,30.39,94,336.44,3.37,06:47:00,17:44:00,270.28
12451,1476475221,10/14/2016 12:00:00 AM,10:00:21,63,30.48,49,53.7,9.0,06:17:00,18:00:00,838.24
25369,1483009252,12/29/2016 12:00:00 AM,01:00:52,38,30.36,60,188.9,6.75,06:56:00,17:53:00,1.19
2862,1474350905,9/19/2016 12:00:00 AM,19:55:05,55,30.43,42,175.04,5.62,06:11:00,18:22:00,1.24
14875,1475733323,10/5/2016 12:00:00 AM,19:55:23,52,30.47,100,139.44,3.37,06:14:00,18:08:00,1.27
27034,1482509740,12/23/2016 12:00:00 AM,06:15:40,45,30.44,37,131.79,14.62,06:54:00,17:50:00,1.21
24463,1478012117,11/1/2016 12:00:00 AM,04:55:17,45,30.46,62,157.42,6.75,06:24:00,17:48:00,1.27
13432,1476175225,10/10/2016 12:00:00 AM,22:40:25,50,30.43,95,181.47,5.62,06:16:00,18:03:00,1.24
1338,1474815622,9/25/2016 12:00:00 AM,05:00:22,47,30.45,62,181.8,7.87,06:12:00,18:16:00,1.23
20522,1479195602,11/14/2016 12:00:00 AM,21:40:02,48,30.48,102,148.38,5.62,06:31:00,17:43:00,1.22
13154,1476259821,10/11/2016 12:00:00 AM,22:10:21,51,30.47,82,177.04,6.75,06:16:00,18:03:00,1.24
25099,1483090505,12/29/2016 12:00:00 AM,23:35:05,40,30.32,90,182.58,6.75,06:56:00,17:53:00,1.23
24732,1483201505,12/31/2016 12:00:00 AM,06:25:05,43,30.29,77,226.91,4.5,06:57:00,17:54:00,1.2
5514,1473344719,9/8/2016 12:00:00 AM,04:25:19,44,30.4,72,122.19,4.5,06:09:00,18:32:00,2.62
11578,1476743118,10/17/2016 12:00:00 AM,12:25:18,64,30.45,38,38.76,4.5,06:18:00,17:58:00,990.88
10884,1476951318,10/19/2016 12:00:00 AM,22:15:18,51,30.48,102,128.29,5.62,06:19:00,17:56:00,1.25
32364,1480682702,12/2/2016 12:00:00 AM,02:45:02,45,30.38,93,165.72,7.87,06:42:00,17:42:00,1.19
21483,1478907302,11/11/2016 12:00:00 AM,13:35:02,64,30.46,41,35.05,5.62,06:29:00,17:44:00,817.7
5455,1473403824,9/8/2016 12:00:00 AM,20:50:24,44,30.41,101,152.54,6.75,06:09:00,18:32:00,1.63
17372,1480142105,11/25/2016 12:00:00 AM,20:35:05,47,30.47,99,187.4,2.25,06:37:00,17:42:00,1.22
28973,1481926521,12/16/2016 12:00:00 AM,12:15:21,52,30.26,76,70.32,6.75,06:50:00,17:46:00,856.63
28334,1482118818,12/18/2016 12:00:00 AM,17:40:18,45,30.41,102,208.71,7.87,06:51:00,17:47:00,1.64
13153,1476260121,10/11/2016 12:00:00 AM,22:15:21,51,30.47,80,182.64,6.75,06:16:00,18:03:00,1.25
29054,1481902218,12/16/2016 12:00:00 AM,05:30:18,38,30.22,87,163.52,3.37,06:50:00,17:46:00,1.25
12228,1476543918,10/15/2016 12:00:00 AM,05:05:18,50,30.46,23,180.15,6.75,06:17:00,17:59:00,1.2
327,1475130324,9/28/2016 12:00:00 AM,20:25:24,52,30.42,66,140.23,5.62,06:13:00,18:14:00,1.23
231,1475159425,9/29/2016 12:00:00 AM,04:30:25,46,30.39,48,170.62,5.62,06:13:00,18:13:00,1.2
25349,1483015249,12/29/2016 12:00:00 AM,02:40:49,37,30.35,55,176.53,4.5,06:56:00,17:53:00,1.2
5860,1473212419,9/6/2016 12:00:00 AM,15:40:19,56,30.39,85,25.0,2.25,06:08:00,18:34:00,463.62
3272,1474222506,9/18/2016 12:00:00 AM,08:15:06,60,30.47,75,72.32,4.5,06:11:00,18:23:00,490.41
27193,1482462049,12/22/2016 12:00:00 AM,17:00:49,56,30.42,78,76.29,3.37,06:53:00,17:49:00,129.12
25155,1483073705,12/29/2016 12:00:00 AM,18:55:05,45,30.3,101,111.61,1.12,06:56:00,17:53:00,1.2
14293,1475910320,10/7/2016 12:00:00 AM,21:05:20,50,30.44,101,187.04,5.62,06:15:00,18:06:00,1.21
32087,1480765834,12/3/2016 12:00:00 AM,01:50:34,45,30.32,93,128.14,3.37,06:42:00,17:43:00,1.23
22046,1478738402,11/9/2016 12:00:00 AM,14:40:02,63,30.42,71,358.3,7.87,06:28:00,17:45:00,831.11
25767,1482889850,12/27/2016 12:00:00 AM,15:50:50,57,30.4,21,94.88,13.5,06:56:00,17:52:00,243.41
25707,1482907849,12/27/2016 12:00:00 AM,20:50:49,44,30.46,23,85.14,2.25,06:56:00,17:52:00,1.21
15685,1475484318,10/2/2016 12:00:00 AM,22:45:18,51,30.46,102,35.18,1.12,06:14:00,18:10:00,1.19
19490,1479505517,11/18/2016 12:00:00 AM,11:45:17,54,30.42,91,8.42,3.37,06:33:00,17:43:00,908.25
30946,1481332849,12/9/2016 12:00:00 AM,15:20:49,52,30.36,98,312.62,3.37,06:46:00,17:44:00,108.84
12917,1476332121,10/12/2016 12:00:00 AM,18:15:21,56,30.45,42,124.74,9.0,06:16:00,18:02:00,1.26
75,1475206822,9/29/2016 12:00:00 AM,17:40:22,56,30.44,50,102.11,2.25,06:13:00,18:13:00,59.62
4,1475228124,9/29/2016 12:00:00 AM,23:35:24,48,30.46,62,104.95,5.62,06:13:00,18:13:00,1.17
26216,1482755141,12/26/2016 12:00:00 AM,02:25:41,40,30.43,77,97.74,5.62,06:55:00,17:51:00,1.19
19484,1479507317,11/18/2016 12:00:00 AM,12:15:17,58,30.41,73,51.4,5.62,06:33:00,17:43:00,906.73
1108,1474884622,9/26/2016 12:00:00 AM,00:10:22,47,30.45,51,148.82,6.75,06:12:00,18:15:00,1.23
16540,1480391702,11/28/2016 12:00:00 AM,17:55:02,48,30.43,62,120.56,4.5,06:39:00,17:42:00,1.53
20368,1479241804,11/15/2016 12:00:00 AM,10:30:04,54,30.49,96,150.98,5.62,06:31:00,17:43:00,428.82
2209,1474551318,9/22/2016 12:00:00 AM,03:35:18,46,30.38,76,135.15,4.5,06:11:00,18:19:00,1.21
13734,1476082223,10/9/2016 12:00:00 AM,20:50:23,50,30.44,92,170.78,3.37,06:16:00,18:04:00,1.24
28912,1481944818,12/16/2016 12:00:00 AM,17:20:18,51,30.21,35,224.26,30.37,06:50:00,17:46:00,40.81
2386,1474497021,9/21/2016 12:00:00 AM,12:30:21,59,30.41,84,327.3,5.62,06:11:00,18:20:00,665.41
21668,1478851801,11/10/2016 12:00:00 AM,22:10:01,47,30.5,65,170.95,5.62,06:28:00,17:45:00,1.25
748,1475001622,9/27/2016 12:00:00 AM,08:40:22,58,30.4,81,9.58,3.37,06:13:00,18:15:00,589.97
8827,1477570520,10/27/2016 12:00:00 AM,02:15:20,45,30.39,41,172.81,10.12,06:22:00,17:51:00,1.2
11566,1476746720,10/17/2016 12:00:00 AM,13:25:20,62,30.43,61,18.31,9.0,06:18:00,17:58:00,926.81
4825,1473671719,9/11/2016 12:00:00 AM,23:15:19,49,30.51,99,173.23,4.5,06:09:00,18:29:00,2.75
20635,1479161701,11/14/2016 12:00:00 AM,12:15:01,56,30.46,86,91.59,3.37,06:31:00,17:43:00,1230.56
9246,1477444218,10/25/2016 12:00:00 AM,15:10:18,60,30.43,87,0.13,6.75,06:21:00,17:52:00,166.55
27617,1482334535,12/21/2016 12:00:00 AM,05:35:35,45,30.44,84,177.0,6.75,06:53:00,17:49:00,1.22
5937,1473189322,9/6/2016 12:00:00 AM,09:15:22,58,30.42,68,79.45,5.62,06:08:00,18:34:00,735.57
16780,1480319718,11/27/2016 12:00:00 AM,21:55:18,47,30.47,46,195.47,11.25,06:38:00,17:42:00,1.17
13821,1476055519,10/9/2016 12:00:00 AM,13:25:19,63,30.4,65,38.43,4.5,06:16:00,18:04:00,514.46
1261,1474838720,9/25/2016 12:00:00 AM,11:25:20,64,30.49,37,11.87,7.87,06:12:00,18:16:00,1021.06
21802,1478811603,11/10/2016 12:00:00 AM,11:00:03,64,30.48,16,0.11,4.5,06:28:00,17:45:00,857.51
2359,1474505419,9/21/2016 12:00:00 AM,14:50:19,59,30.38,78,69.7,9.0,06:11:00,18:20:00,810.48
1599,1474736123,9/24/2016 12:00:00 AM,06:55:23,49,30.46,95,174.3,2.25,06:12:00,18:17:00,28.06
27401,1482399350,12/21/2016 12:00:00 AM,23:35:50,45,30.41,98,115.79,7.87,06:53:00,17:49:00,1.2
12655,1476411923,10/13/2016 12:00:00 AM,16:25:23,65,30.43,27,359.92,4.5,06:17:00,18:01:00,383.74
476,1475085024,9/28/2016 12:00:00 AM,07:50:24,58,30.41,68,105.99,3.37,06:13:00,18:14:00,384.0
14351,1475892919,10/7/2016 12:00:00 AM,16:15:19,54,30.39,101,4.35,6.75,06:15:00,18:06:00,31.17
27553,1482353740,12/21/2016 12:00:00 AM,10:55:40,59,30.45,42,57.12,5.62,06:53:00,17:49:00,773.58
12129,1476574221,10/15/2016 12:00:00 AM,13:30:21,70,30.48,34,10.4,10.12,06:17:00,17:59:00,938.2
28353,1482113117,12/18/2016 12:00:00 AM,16:05:17,44,30.38,102,289.98,5.62,06:51:00,17:47:00,17.4
4048,1473910209,9/14/2016 12:00:00 AM,17:30:09,56,30.4,97,32.96,2.25,06:10:00,18:26:00,66.82
14007,1475997621,10/8/2016 12:00:00 AM,21:20:21,51,30.43,96,161.7,3.37,06:15:00,18:05:00,1.22
21806,1478810403,11/10/2016 12:00:00 AM,10:40:03,63,30.48,15,343.69,6.75,06:28:00,17:45:00,826.71
17702,1480042503,11/24/2016 12:00:00 AM,16:55:03,45,30.45,100,109.21,7.87,06:37:00,17:42:00,71.85
32425,1480664403,12/1/2016 12:00:00 AM,21:40:03,45,30.42,93,144.26,6.75,06:41:00,17:42:00,1.22
259,1475151020,9/29/2016 12:00:00 AM,02:10:20,47,30.39,64,190.87,6.75,06:13:00,18:13:00,1.24
30447,1481482866,12/11/2016 12:00:00 AM,09:01:06,52,30.42,97,319.89,4.5,06:47:00,17:44:00,432.17
11243,1476843618,10/18/2016 12:00:00 AM,16:20:18,57,30.4,93,177.79,4.5,06:18:00,17:57:00,414.79
21321,1478955904,11/12/2016 12:00:00 AM,03:05:04,45,30.46,82,190.93,5.62,06:30:00,17:44:00,1.21
5815,1473225921,9/6/2016 12:00:00 AM,19:25:21,50,30.41,100,75.85,1.12,06:08:00,18:34:00,2.17
24520,1477995018,11/1/2016 12:00:00 AM,00:10:18,47,30.48,55,140.94,5.62,06:24:00,17:48:00,1.31
27279,1482436240,12/22/2016 12:00:00 AM,09:50:40,57,30.46,71,110.96,5.62,06:53:00,17:49:00,634.4
5045,1473605419,9/11/2016 12:00:00 AM,04:50:19,44,30.43,81,187.59,4.5,06:09:00,18:29:00,2.42
27391,1482402349,12/22/2016 12:00:00 AM,00:25:49,46,30.41,84,50.04,4.5,06:53:00,17:49:00,1.24
18109,1479920105,11/23/2016 12:00:00 AM,06:55:05,44,30.42,100,124.56,5.62,06:36:00,17:42:00,18.66
26880,1482555949,12/23/2016 12:00:00 AM,19:05:49,49,30.47,43,156.58,9.0,06:54:00,17:50:00,1.26
6428,1473038405,9/4/2016 12:00:00 AM,15:20:05,56,30.43,101,89.22,9.0,06:08:00,18:35:00,46.86
3537,1474140904,9/17/2016 12:00:00 AM,09:35:04,56,30.49,101,94.69,3.37,06:10:00,18:24:00,405.47
12200,1476552321,10/15/2016 12:00:00 AM,07:25:21,54,30.49,21,149.49,6.75,06:17:00,17:59:00,258.94
12032,1476603624,10/15/2016 12:00:00 AM,21:40:24,54,30.52,22,166.04,10.12,06:17:00,17:59:00,1.26
13437,1476173725,10/10/2016 12:00:00 AM,22:15:25,49,30.44,84,157.95,5.62,06:16:00,18:03:00,1.23
18436,1479822001,11/22/2016 12:00:00 AM,03:40:01,45,30.4,102,120.06,3.37,06:35:00,17:42:00,1.21
9660,1477319421,10/24/2016 12:00:00 AM,04:30:21,48,30.4,58,153.33,11.25,06:21:00,17:53:00,1.21
18829,1479704102,11/20/2016 12:00:00 AM,18:55:02,49,30.43,102,76.32,4.5,06:34:00,17:42:00,1.19
12594,1476430520,10/13/2016 12:00:00 AM,21:35:20,51,30.49,38,154.94,7.87,06:17:00,18:01:00,1.2
32362,1480683304,12/2/2016 12:00:00 AM,02:55:04,45,30.37,93,160.24,7.87,06:42:00,17:42:00,1.19
8180,1477764617,10/29/2016 12:00:00 AM,08:10:17,49,30.42,102,93.61,1.12,06:23:00,17:50:00,127.95
2701,1474401007,9/20/2016 12:00:00 AM,09:50:07,61,30.42,65,61.86,3.37,06:11:00,18:21:00,852.06
8846,1477564818,10/27/2016 12:00:00 AM,00:40:18,45,30.42,53,176.08,4.5,06:22:00,17:51:00,1.19
17176,1480200917,11/26/2016 12:00:00 AM,12:55:17,57,30.43,66,76.26,10.12,06:38:00,17:42:00,774.15
11403,1476795617,10/18/2016 12:00:00 AM,03:00:17,51,30.43,99,166.72,7.87,06:18:00,17:57:00,1.19
16771,1480322420,11/27/2016 12:00:00 AM,22:40:20,46,30.48,84,112.82,15.75,06:38:00,17:42:00,1.2
4455,1473786008,9/13/2016 12:00:00 AM,07:00:08,52,30.44,76,161.25,1.12,06:10:00,18:27:00,57.14
14508,1475845820,10/7/2016 12:00:00 AM,03:10:20,46,30.4,84,181.03,7.87,06:15:00,18:06:00,1.22
18632,1479763202,11/21/2016 12:00:00 AM,11:20:02,59,30.44,87,28.93,10.12,06:35:00,17:42:00,1010.78
26555,1482653486,12/24/2016 12:00:00 AM,22:11:26,46,30.47,31,190.63,5.62,06:54:00,17:50:00,1.2
16844,1480300518,11/27/2016 12:00:00 AM,16:35:18,50,30.44,94,100.98,4.5,06:38:00,17:42:00,128.7
20366,1479242403,11/15/2016 12:00:00 AM,10:40:03,54,30.49,98,18.31,5.62,06:31:00,17:43:00,498.79
21779,1478818502,11/10/2016 12:00:00 AM,12:55:02,63,30.45,66,0.17,10.12,06:28:00,17:45:00,710.51
547,1475063421,9/28/2016 12:00:00 AM,01:50:21,48,30.38,87,185.37,7.87,06:13:00,18:14:00,1.27
32002,1480791333,12/3/2016 12:00:00 AM,08:55:33,45,30.34,93,15.36,1.12,06:42:00,17:43:00,401.47
19132,1479612920,11/19/2016 12:00:00 AM,17:35:20,49,30.43,87,51.25,4.5,06:34:00,17:42:00,11.68
11773,1476683120,10/16/2016 12:00:00 AM,19:45:20,56,30.49,32,157.7,3.37,06:18:00,17:59:00,1.21
29455,1481781002,12/14/2016 12:00:00 AM,19:50:02,43,30.29,55,221.31,5.62,06:49:00,17:46:00,1.29
24636,1483230301,12/31/2016 12:00:00 AM,14:25:01,53,30.29,82,327.17,15.75,06:57:00,17:54:00,230.91
14625,1475809524,10/6/2016 12:00:00 AM,17:05:24,54,30.43,101,348.77,3.37,06:15:00,18:07:00,88.44
13260,1476228023,10/11/2016 12:00:00 AM,13:20:23,59,30.42,84,38.2,4.5,06:16:00,18:03:00,950.18
11203,1476855617,10/18/2016 12:00:00 AM,19:40:17,52,30.44,93,147.53,3.37,06:18:00,17:57:00,1.24
13298,1476216623,10/11/2016 12:00:00 AM,10:10:23,59,30.46,87,0.52,5.62,06:16:00,18:03:00,857.34
30753,1481391040,12/10/2016 12:00:00 AM,07:30:40,49,30.41,94,184.86,2.25,06:47:00,17:44:00,27.83
24890,1483154102,12/30/2016 12:00:00 AM,17:15:02,48,30.3,97,351.79,2.25,06:57:00,17:54:00,21.2
11815,1476670223,10/16/2016 12:00:00 AM,16:10:23,63,30.47,26,119.4,6.75,06:18:00,17:59:00,221.39
12440,1476478521,10/14/2016 12:00:00 AM,10:55:21,63,30.48,62,359.82,3.37,06:17:00,18:00:00,948.4
2619,1474425603,9/20/2016 12:00:00 AM,16:40:03,55,30.38,95,0.18,3.37,06:11:00,18:21:00,241.97
3504,1474150804,9/17/2016 12:00:00 AM,12:20:04,58,30.48,95,74.57,10.12,06:10:00,18:24:00,595.22
26849,1482565253,12/23/2016 12:00:00 AM,21:40:53,48,30.49,38,192.63,7.87,06:54:00,17:50:00,1.25
14950,1475709920,10/5/2016 12:00:00 AM,13:25:20,56,30.43,102,27.21,4.5,06:14:00,18:08:00,750.44
10462,1477077922,10/21/2016 12:00:00 AM,09:25:22,50,30.45,102,100.88,6.75,06:19:00,17:55:00,209.28
10026,1477209020,10/22/2016 12:00:00 AM,21:50:20,48,30.43,101,121.45,6.75,06:20:00,17:54:00,1.21
30450,1481481955,12/11/2016 12:00:00 AM,08:45:55,51,30.42,99,178.31,1.12,06:47:00,17:44:00,420.49
1796,1474676122,9/23/2016 12:00:00 AM,14:15:22,60,30.42,83,140.55,4.5,06:12:00,18:18:00,113.1
16045,1475374819,10/1/2016 12:00:00 AM,16:20:19,54,30.42,101,133.87,4.5,06:13:00,18:11:00,142.93
15280,1475609729,10/4/2016 12:00:00 AM,09:35:29,55,30.47,100,39.62,3.37,06:14:00,18:08:00,819.32
16085,1475362821,10/1/2016 12:00:00 AM,13:00:21,58,30.44,93,58.0,6.75,06:13:00,18:11:00,633.84
32324,1480694704,12/2/2016 12:00:00 AM,06:05:04,45,30.37,93,142.54,9.0,06:42:00,17:42:00,1.25
11399,1476796818,10/18/2016 12:00:00 AM,03:20:18,51,30.42,99,158.83,6.75,06:18:00,17:57:00,1.24
15238,1475622321,10/4/2016 12:00:00 AM,13:05:21,57,30.43,102,42.33,10.12,06:14:00,18:08:00,216.92
14919,1475719520,10/5/2016 12:00:00 AM,16:05:20,54,30.44,102,51.61,0.0,06:14:00,18:08:00,182.95
